"zoneid","neighborZonid","row","neighbor","state","state_neighbor"
135,785,1,553,"MO","MO"
135,786,1,554,"MO","MO"
135,796,1,564,"MO","MO"
219,223,2,3,"MO","MO"
219,389,2,157,"MO","MO"
219,392,2,160,"MO","MO"
219,394,2,162,"MO","MO"
219,396,2,164,"MO","MO"
223,219,3,2,"MO","MO"
223,389,3,157,"MO","MO"
233,767,4,535,"MO","MO"
233,768,4,536,"MO","MO"
233,769,4,537,"MO","MO"
233,780,4,548,"MO","MO"
237,238,5,6,"MO","MO"
237,265,5,33,"MO","MO"
238,237,6,5,"MO","MO"
238,239,6,7,"MO","MO"
238,240,6,8,"MO","MO"
238,265,6,33,"MO","MO"
238,270,6,38,"MO","MO"
238,273,6,41,"MO","MO"
238,283,6,51,"MO","MO"
239,238,7,6,"MO","MO"
239,240,7,8,"MO","MO"
240,238,8,6,"MO","MO"
240,239,8,7,"MO","MO"
240,241,8,9,"MO","MO"
240,283,8,51,"MO","MO"
240,285,8,53,"MO","MO"
241,240,9,8,"MO","MO"
241,242,9,10,"MO","MO"
241,284,9,52,"MO","MO"
241,285,9,53,"MO","MO"
242,241,10,9,"MO","MO"
242,284,10,52,"MO","MO"
242,286,10,54,"MO","MO"
242,287,10,55,"MO","MO"
243,244,11,12,"MO","MO"
243,245,11,13,"MO","MO"
243,251,11,19,"MO","MO"
243,253,11,21,"MO","MO"
243,656,11,424,"MO","MO"
243,658,11,426,"MO","MO"
243,665,11,433,"MO","MO"
243,666,11,434,"MO","MO"
244,243,12,11,"MO","MO"
244,245,12,13,"MO","MO"
244,246,12,14,"MO","MO"
244,666,12,434,"MO","MO"
245,243,13,11,"MO","MO"
245,244,13,12,"MO","MO"
245,246,13,14,"MO","MO"
245,247,13,15,"MO","MO"
245,253,13,21,"MO","MO"
245,254,13,22,"MO","MO"
246,244,14,12,"MO","MO"
246,245,14,13,"MO","MO"
246,247,14,15,"MO","MO"
246,527,14,295,"MO","MO"
246,601,14,369,"MO","MO"
246,666,14,434,"MO","MO"
247,245,15,13,"MO","MO"
247,246,15,14,"MO","MO"
247,248,15,16,"MO","MO"
