"zoneid","hu12_states","hu12_nlcd2006_pct_11","hu12_nlcd2006_pct_90","hu12_nlcd2006_pct_95","hu12_baseflowindex_mean","hu12_groundwaterrecharge_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_runoff_mean","hu12_lakes_lakes4ha_overlapping_area_pct","hu12_lakes_lakes4ha_isolated_overlapping_area_pct","hu12_lakes_lakes4ha_headwater_overlapping_area_pct","hu12_lakes_lakes4ha_drstream_overlapping_area_pct","hu12_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu12_lakes_lakes4to10ha_overlapping_area_pct","hu12_lakes_lakes10ha_overlapping_area_pct","hu12_streamdensity_streams_density_mperha","hu12_streamdensity_headwaters_density_mperha","hu12_streamdensity_midreaches_density_mperha","hu12_streamdensity_rivers_density_mperha","hu12_wl_allwetlandsundissolved_overlapping_area_pct","hu12_wl_isolatedwetlandsundissolved_overlapping_area_pct","hu12_wl_singlewetlandsundissolved_overlapping_area_pct","hu12_wl_connectedwetlandsundissolved_overlapping_area_pct","hu12_wl_forestedwetlandsundissolved_overlapping_area_pct","hu12_wl_scrubshrubwetlandsundissolved_overlapping_area_pct","hu12_wl_openwaterwetlandsundissolved_overlapping_area_pct"
135,"MO",0.0909,0.6735,0,48.7753,138.5393,1156.5238,14.2013,11.3279,0,0,0,0,0,0,0,33.5838,30.5223,3.0615,0,0.5167,0,0,0.5167,0.4814,0.0217,0.0135
219,"MO",0.8175,3.8108,0.053,33.7978,77.5955,1146.3884,13.547,9.237,0,0,0,0,0,0,0,17.1088,15.4425,1.6663,0,2.6791,0.054,0.0348,2.5904,2.1925,0.0157,0.47
223,"MO",1.2999,15.4341,0.1085,31.8448,72.7759,1143.0547,13.5361,9.1737,0.1503,0.1503,0,0,0,0.1503,0,18.0385,15.3449,2.6936,0,8.7105,0.2566,0.1446,8.3092,6.4196,0.3128,1.9427
233,"MO",0.1652,0.2616,0,47.418,115.8197,1162.49,13.9787,9.7132,0.0605,0,0,0.0605,0,0.0605,0,12.2099,10.8816,1.3283,0,0.4883,0.0796,0.1147,0.294,0.3432,0.0641,0.0522
237,"MO",0.7245,0.0523,0,41.0168,123.8771,1171.7251,13.4973,12.0291,0.7925,0,0,0,0.7925,0,0.7925,14.0457,13.4035,0.6422,0,0.0126,0.0114,0,0.0012,0.0012,0,0.0114
238,"MO",0.9086,0.1061,0,40.1075,121.5269,1168.2216,13.4586,12.0647,0.9723,0,0,0,0.9723,0,0.9723,15.1902,15.0199,0.1702,0,2e-04,2e-04,0,0,0,0,2e-04
239,"MO",14.8637,0.2514,0,39.5102,121.5714,1157.4465,13.6144,12.277,15.4997,0,0,0,15.4997,0,15.4997,7.7721,7.329,0.4432,0,0.0036,0.0036,0,0,6e-04,0.0014,0.0016
240,"MO",23.4143,0.1601,0,38.0246,117.5574,1162.4064,13.6465,12.4022,23.8486,0,0,0,23.8486,0,23.8486,8.6161,5.9564,0.2233,2.4364,0.0028,0.0028,0,0,0,0.0014,0.0013
241,"MO",27.4038,0.1136,0,36.5505,115.422,1176.446,13.6814,12.7475,27.1696,0,0,0,27.1696,0,27.1696,6.7099,4.865,0,1.8449,0.0056,6e-04,9e-04,0.004,3e-04,0.004,0.0012
242,"MO",29.1237,0.1072,0,35.791,112.2836,1160.6482,13.6041,12.6755,29.3534,0,0,0,29.3534,0,29.3534,7.2589,6.0422,0,1.2166,0,0,0,0,0,0,0
243,"MO",0.0381,0.3318,0,36.7477,109.4299,1159.8673,12.6506,11.7894,0,0,0,0,0,0,0,14.2872,13.8307,0.4564,0,0.0286,0.023,0.0025,0.0031,0,0.0019,0.0267
244,"MO",0.0244,0.4536,0,35.9,105.1,1151.8309,12.9108,11.5401,0,0,0,0,0,0,0,17.5272,15.7551,1.7722,0,0.0159,0.0066,0.0053,0.0041,0.0059,0.0052,0.0048
245,"MO",0.0182,0.2061,0,36.6196,107.5326,1162.6537,12.8123,11.6039,0,0,0,0,0,0,0,17.2233,16.2265,0.9968,0,0.043,0.0193,0.0057,0.018,0.001,0.0152,0.0268
246,"MO",0.057,0.2543,0,35.3429,102.2571,1146.7229,13.0083,11.3656,0,0,0,0,0,0,0,17.0878,14.5902,2.4976,0,0.0366,0.0253,0.0044,0.0069,0.0016,0.0109,0.0241
247,"MO",0.0721,0.3956,0,35.7818,103.9,1158.4535,12.895,11.4353,0,0,0,0,0,0,0,13.0456,12.2329,0.8127,0,0.0516,0.0396,0.0039,0.0081,0.0014,0.0056,0.0436
248,"MO",0.0563,0.5459,0,34.2712,96.9492,1149.2004,12.9551,11.1788,0,0,0,0,0,0,0,11.3043,11.3043,0,0,0.0664,0.0295,0.0147,0.0222,0.0032,0,0.0633
249,"MO",0.0509,0.8616,0.0102,33.5574,96.8361,1152.427,12.9461,11.3674,0,0,0,0,0,0,0,13.6356,11.8104,1.8253,0,0.3227,0.0926,0.0109,0.2192,0.1664,0.08,0.0763
250,"MO",1.6673,0.4047,0.0175,34.7424,100.197,1148.1022,13.0052,11.3703,1.7712,0,0,1.7712,0,0,1.7712,8.79,7.9033,0.8866,0,1.2303,0.399,0.1318,0.6995,0.7147,0.1365,0.3633
251,"MO",0.0207,0.1924,0,40.8231,122.9385,1165.3002,12.6454,11.9856,0,0,0,0,0,0,0,13.9851,13.691,0.2941,0,0.217,0.2148,9e-04,0.0012,0.0017,0.0332,0.1821
252,"MO",0,0.112,0,40.8235,123.2941,1190.8375,12.6757,12.0295,0,0,0,0,0,0,0,15.7551,15.7551,0,0,0.0108,0.0081,8e-04,0.0019,0.0019,8e-04,0.0081
253,"MO",0.0279,0.3891,0.0052,37.9151,113.3491,1173.9532,12.7219,11.8637,0,0,0,0,0,0,0,17.619,16.092,1.5269,0,0.0371,0.0123,0.0011,0.0237,0.001,0.0119,0.0242
254,"MO",0.0726,0.1858,0,36.0556,107.0556,1183.9825,12.7478,11.7684,0,0,0,0,0,0,0,16.666,15.8092,0.8568,0,0.1076,0.1022,0,0.0054,0.0032,0.0028,0.1016
255,"MO",0.0124,0.7714,0,37.2549,111.8824,1207.3938,12.7172,11.928,0.0923,0,0.0923,0,0,0.0923,0,17.3864,14.5151,2.8713,0,0.14,0.0759,0.0014,0.0627,0.0187,0.0238,0.0976
256,"MO",0.0421,0.4355,0,34.8468,103.2097,1174.9443,12.8185,11.7644,0,0,0,0,0,0,0,12.8199,11.5449,1.2749,0,0.3462,0.2606,0.026,0.0597,0.0173,0.049,0.28
257,"MO",0.0328,0.3409,0,35.8723,107.0638,1151.6528,12.926,11.8669,0,0,0,0,0,0,0,15.0008,13.717,1.2839,0,0.075,0.0562,0.0082,0.0106,0.0039,0.005,0.0661
258,"MO",0.0409,0.6262,0.015,35.9403,105.6567,1140.7699,13.0612,11.6751,0,0,0,0,0,0,0,15.484,13.1253,2.3586,0,0.6066,0.124,0.0116,0.471,0.3368,0.1408,0.129
259,"MO",0.0481,0.4783,0,36.3425,107.726,1143.7015,13.0933,11.7871,0,0,0,0,0,0,0,14.4905,12.8038,1.6867,0,0.1218,0.0433,0.0045,0.074,0.066,0.0028,0.0529
260,"MO",0.029,0.2789,0,35.8077,99.5615,1145.389,13.08,10.9874,0,0,0,0,0,0,0,6.1903,6.1903,0,0,0.183,0.1254,0.0399,0.0176,0.0162,0.0419,0.1248
261,"MO",0.0066,0.3195,0,39.1176,109,1116.9954,13.1295,11.0371,0,0,0,0,0,0,0,12.8583,12.2797,0.5785,0,0.0454,0.0365,0.008,0.001,6e-04,0.003,0.0405
262,"MO",0.0477,0.4376,0,38.9688,108.375,1130.2736,13.1971,11.011,0,0,0,0,0,0,0,11.2871,10.3409,0.9461,0,0.1128,0.1,0.003,0.0098,0.0157,0.0095,0.0877
263,"MO",0.1281,0.7756,0.0104,36.2675,104.5159,1140.9088,13.0735,11.3756,0,0,0,0,0,0,0,12.0798,10.5702,1.5096,0,0.4731,0.2189,0.0592,0.195,0.1599,0.0182,0.2949
264,"MO",0.2173,0.9054,0,38.5825,111.1165,1133.6826,13.1948,11.4156,0,0,0,0,0,0,0,15.8056,13.9418,1.8637,0,0.3794,0.0825,0.0064,0.2905,0.2896,0.0204,0.0695
265,"MO",0.0246,0.1308,0.0043,44.0484,130.3871,1160.8164,13.2611,11.7628,0,0,0,0,0,0,0,13.846,13.1161,0.7299,0,0.1164,0.1,0.0097,0.0068,0.0344,7e-04,0.0813
266,"MO",0.1081,0.0378,0,44.2941,129.9265,1159.1102,13.2867,11.6076,0,0,0,0,0,0,0,16.4755,15.1819,1.2935,0,0.0193,0.0147,0,0.0046,0,0,0.0193
267,"MO",0.0419,0.277,0,44.7232,125.7589,1162.7054,13.3814,11.0448,0,0,0,0,0,0,0,13.6933,13.0736,0.6197,0,0.0128,0.0106,0.0013,9e-04,0.0028,0,0.01
268,"MO",0,0.088,0,44.0192,127.0769,1162.394,13.3574,11.3729,0,0,0,0,0,0,0,14.5356,13.302,1.2336,0,0.0156,0.0149,0,8e-04,0,8e-04,0.0149
269,"MO",0.0137,0.1028,0,40.6324,118.3088,1161.9897,13.3713,11.4795,0,0,0,0,0,0,0,16.5071,15.7649,0.7421,0,0.0045,0.0015,0,0.003,0.001,0.0019,0.0015
270,"MO",0.0114,0.0488,0,40.6705,121.3409,1175.516,13.3687,11.8841,0,0,0,0,0,0,0,17.5645,16.4067,1.1578,0,7e-04,0,0,7e-04,0,0,7e-04
271,"MO",0.0341,0.3491,0,42.0096,122.4135,1161.4718,13.4052,11.501,0,0,0,0,0,0,0,16.5946,14.3421,2.2525,0,0.0136,0.0124,0,0.0012,0.0071,0,0.0065
272,"MO",0.0241,0.0128,0,38.3793,113.8103,1156.5201,13.2939,11.7472,0,0,0,0,0,0,0,18.6516,17.965,0.6866,0,9e-04,9e-04,0,0,0,0,9e-04
273,"MO",1.1273,1.0654,0,37.9231,113.5128,1157.2867,13.3672,11.9045,1.0538,0,0,0,1.0538,0,1.0538,17.7662,14.7729,2.9933,0,0.0293,0.0133,0,0.016,0.0141,5e-04,0.0147
274,"MO",0,0.1835,0,37.5079,112.7619,1157.5315,13.1884,11.9684,0,0,0,0,0,0,0,15.4415,14.939,0.5025,0,0.0065,0.0056,0,9e-04,0,7e-04,0.0059
275,"MO",0,0.0565,0,39.0769,110.4904,1150.0145,13.1686,11.1502,0,0,0,0,0,0,0,16.2498,14.8819,1.3679,0,0.015,0.0096,0,0.0054,0,0,0.015
276,"MO",0.0048,0.2835,0,39,110.8348,1130.3501,13.1019,11.2462,0,0,0,0,0,0,0,14.3212,13.2508,1.0704,0,0.015,0.0128,6e-04,0.0016,9e-04,0.0011,0.0131
277,"MO",0,0.3878,0,39,112.9358,1150.1752,13.2249,11.4286,0,0,0,0,0,0,0,15.3191,13.5657,1.7534,0,0.0257,0.0195,0,0.0062,0.0048,0.0017,0.0193
278,"MO",0.0024,0.3721,0,38.9444,113.7222,1142.0388,13.178,11.5517,0,0,0,0,0,0,0,15.6258,12.1589,3.4669,0,0.0353,0.0253,7e-04,0.0093,0,0,0.0353
279,"MO",0.4482,0.9153,0,37.4918,111.0328,1146.1379,13.1851,11.7694,0,0,0,0,0,0,0,16.4853,13.768,2.7174,0,0.0489,0.014,0.0101,0.0248,0.0292,0.0048,0.0148
280,"MO",0,0.2313,0,37.8095,114.5873,1162.1108,13.4115,12.0882,0,0,0,0,0,0,0,16.7251,15.6061,1.119,0,0.0126,0.0117,0,9e-04,0,0,0.0126
281,"MO",0.7851,0.7395,0,39.1791,116.9104,1153.9325,13.3069,11.8432,0,0,0,0,0,0,0,18.1127,15.843,2.2697,0,0.0638,0.0024,0,0.0614,0.0592,0.0023,0.0024
282,"MO",4.466,0.3207,0,38.0345,114.7069,1155.1752,13.3668,12.0211,4.3216,0,0,0,4.3216,0,4.3216,15.9043,12.6221,3.2653,0.0169,0.0787,0.0234,0.0039,0.0513,0.0464,0.0193,0.013
283,"MO",2.3882,0.1868,0,37.9318,114.9091,1161.1018,13.4744,12.0819,2.4006,0,0,0,2.4006,0,2.4006,15.9987,15.6783,0.3204,0,0,0,0,0,0,0,0
