"zoneid","hu12_states","hu12_canopy2001_mean","hu12_nlcd2006_pct_41","hu12_nlcd2006_pct_42","hu12_nlcd2006_pct_43","hu12_nlcd2006_pct_52","hu12_nlcd2006_pct_71","hu12_tri_mean","hu12_surficialgeology_alluv_pct","hu12_surficialgeology_beach_pct","hu12_surficialgeology_colluv_pct","hu12_surficialgeology_dec_resid_pct","hu12_surficialgeology_eolian_pct","hu12_surficialgeology_gf_out_pct","hu12_surficialgeology_ice_pct","hu12_surficialgeology_lac_pct","hu12_surficialgeology_lac_clay_pct","hu12_surficialgeology_marine_pct","hu12_surficialgeology_peat_mrsh_pct","hu12_surficialgeology_saprol_pct","hu12_surficialgeology_solif_pct","hu12_surficialgeology_solut_pct","hu12_surficialgeology_till_clay_pct","hu12_surficialgeology_till_loam_pct","hu12_surficialgeology_till_oth_pct","hu12_surficialgeology_till_sand_pct","hu12_latewisconsinglaciation_glaciation"
135,"MO",54.8229,58.7054,1.0401,0.2727,0.093,4.0542,1.4526,26.2562,0,0,0,0,0,0,0,0,0,0,0,0,73.7438,0,0,0,0,3
219,"MO",7.3908,7.1408,0,0,0.2339,0.9055,0.2056,15.4288,0,0,84.5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
223,"MO",18.9793,9.8791,0.011,0.0424,0.088,0.3725,0.2781,43.5041,0,0,56.4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
233,"MO",22.073,24.2208,0.0553,0.0045,0.9171,0.4088,0.3518,24.4926,0,0,0,0,0,0,0,0,0,0,0,0,75.5074,0,0,0,0,3
237,"MO",62.7169,61.9722,7.8558,1.7379,0.1312,1.9321,1.8138,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0205,0,0,0,0,3
238,"MO",78.3632,73.3645,13.4874,2.7135,0.214,1.2574,1.9818,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9854,0,0,0,0,3
239,"MO",38.8807,33.0926,8.1522,2.6111,0.1857,0.8535,0.7973,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9324,0,0,0,0,3
240,"MO",51.1185,33.6688,19.7374,4.4233,0.1254,0.9805,0.9374,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0443,0,0,0,0,3
241,"MO",50.3279,39.0892,13.1886,5.3328,0.1085,1.51,1.3162,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1139,0,0,0,0,3
242,"MO",47.9221,41.1753,8.3314,5.8031,0.368,1.4424,1.2169,0.8638,0,0,0,0,0,0,0,0,0,0,0,0,69.7565,0,0,0,0,3
243,"MO",27.6026,35.1879,0.187,0.5758,0.4368,1.2856,0.5353,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
244,"MO",39.8606,47.7142,0.6814,1.316,0.301,1.8073,0.766,5.2286,0,0,0,0,0,0,0,0,0,0,0,0,94.7714,0,0,0,0,3
245,"MO",38.2412,46.5565,1.206,1.6633,0.4477,1.6882,0.8048,18.1069,0,0,0,0,0,0,0,0,0,0,0,0,81.8931,0,0,0,0,3
246,"MO",36.3615,43.0652,1.3476,1.7579,0.3039,0.8926,0.7271,21.8865,0,0,0,0,0,0,0,0,0,0,0,0,78.1135,0,0,0,0,3
247,"MO",34.0804,40.6669,0.6823,1.3785,0.4218,0.9149,0.6739,16.2124,0,0,0,0,0,0,0,0,0,0,0,0,83.7876,0,0,0,0,3
248,"MO",14.183,16.9346,0.3817,0.7421,0.4015,0.444,0.3943,3.4541,0,0,0,0,0,0,0,0,0,0,0,0,96.5459,0,0,0,0,3
249,"MO",29.4533,34.4157,1.2858,1.6621,0.5245,0.7816,0.5612,26.827,0,0,0,0,0,0,0,0,0,0,0,0,73.173,0,0,0,0,3
250,"MO",19.5862,19.2731,0.5795,0.843,0.3442,0.5311,0.4364,19.2255,0,0,0,0,0,0,0,0,0,0,0,0,80.7745,0,0,0,0,3
251,"MO",33.5868,40.664,0.3152,0.9151,0.2421,0.8641,0.7777,16.4501,0,0,0,0,0,0,0,0,0,0,0,0,83.5499,0,0,0,0,3
252,"MO",39.2833,48.8257,0.8925,1.9408,0.42,1.4088,0.9535,1.215,0,0,0,0,0,0,0,0,0,0,0,0,98.785,0,0,0,0,3
253,"MO",38.0784,46.4757,0.834,1.1088,0.4667,1.3687,0.9568,17.1468,0,0,0,0,0,0,0,0,0,0,0,0,82.8532,0,0,0,0,3
254,"MO",39.5183,47.407,0.2906,0.8412,0.6993,1.1706,0.8014,7.5142,0,0,0,0,0,0,0,0,0,0,0,0,92.4858,0,0,0,0,3
